record_id,date,year_be,month,season,station_id,station_type,tambon,pH,temp_c,EC_uS_cm,DO_mg_L,BOD_mg_L,COD_mg_L,NH3_mg_L,NO3_mg_L,TP_mg_L,TCB_MPN_100mL,FCB_MPN_100mL,WQI_al_score,WQI_al_class
23,2024-10-13,2567,10,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.43,26.8,299.0,6.75,3.09,16.5,0.635,1.948,1.105,8722,3962,74.4,B (ดี)
24,2024-10-10,2567,10,ฤดูฝน,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.43,26.8,298.0,5.41,1.3,12.7,0.522,2.104,1.303,10418,4404,67.5,B (ดี)
25,2025-05-30,2568,5,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.81,28.6,233.0,6.27,0.3,7.4,0.229,1.595,0.638,4233,2105,78.1,B (ดี)
26,2025-08-01,2568,8,ฤดูฝน,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.52,29.8,323.0,5.23,2.77,11.9,0.943,1.89,1.298,2732,1610,65.1,B (ดี)
27,2025-06-03,2568,6,ฤดูฝน,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,6.87,26.9,455.0,3.35,6.05,34.7,1.471,3.273,2.229,90818,49920,44.4,C (พอใช้)
28,2024-11-10,2567,11,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.32,26.8,294.0,4.05,4.98,17.6,1.098,1.863,1.432,5886,1633,58.4,C (พอใช้)
29,2024-11-02,2567,11,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.29,26.0,368.0,4.12,6.94,28.7,1.533,3.231,2.723,79971,19101,45.2,C (พอใช้)
30,2024-01-03,2567,1,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.67,25.4,225.0,6.54,3.78,21.2,0.67,1.949,1.099,14216,4233,73.3,B (ดี)
31,2024-11-10,2567,11,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.51,25.5,156.0,7.25,0.44,4.0,0.224,0.666,0.187,4954,2900,87.8,A (ดีมาก)
32,2024-05-23,2567,5,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.17,29.9,283.0,7.09,0.36,4.0,0.106,0.653,0.153,5619,2160,88.0,A (ดีมาก)
33,2024-09-12,2567,9,ฤดูฝน,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.05,31.8,286.0,5.16,3.46,8.5,0.554,1.978,1.952,7464,1761,63.4,B (ดี)
34,2024-03-04,2567,3,ฤดูแล้ง,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.07,27.9,408.0,4.24,3.41,19.0,0.714,1.921,1.256,6448,3308,62.1,B (ดี)
35,2025-05-20,2568,5,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.14,30.3,205.0,6.6,2.22,6.4,0.749,0.618,0.209,1986,917,81.9,A (ดีมาก)
36,2025-08-17,2568,8,ฤดูฝน,NHK05,หนองหาร (Lake),ท่าแร่,7.06,31.8,249.0,8.15,0.94,4.0,0.141,1.335,0.978,3458,1818,86.1,A (ดีมาก)
37,2024-10-04,2567,10,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,6.84,26.9,239.0,7.97,0.35,6.5,0.01,1.639,0.256,11554,5429,88.6,A (ดีมาก)
38,2025-11-04,2568,11,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.21,24.7,354.0,3.84,4.39,18.7,1.031,2.522,2.906,7061,3410,48.2,C (พอใช้)
39,2024-08-09,2567,8,ฤดูฝน,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.68,28.5,280.0,8.63,0.3,4.0,0.319,1.49,0.188,3154,1578,90.6,A (ดีมาก)
40,2025-02-28,2568,2,ฤดูแล้ง,BNH04,ลำห้วย (Tributary),นาแก้ว,6.75,26.6,472.0,2.4,5.15,17.9,1.557,3.973,2.24,88055,44599,37.3,D (เสื่อมโทรม)
41,2025-09-01,2568,9,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,7.35,30.2,381.0,3.47,5.83,25.8,1.376,3.279,2.555,31657,10264,43.9,C (พอใช้)
42,2025-07-11,2568,7,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,7.21,31.9,268.0,7.71,1.08,4.0,0.01,1.263,0.169,4142,1339,89.2,A (ดีมาก)
43,2025-03-31,2568,3,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.29,25.6,202.0,6.81,0.88,4.0,0.109,0.955,0.156,12157,3219,85.7,A (ดีมาก)
44,2025-04-19,2568,4,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.04,29.1,222.0,7.24,0.3,4.0,0.111,0.948,0.245,2072,945,87.2,A (ดีมาก)
45,2024-02-29,2567,2,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.09,29.0,336.0,5.09,3.44,21.5,0.83,2.051,1.131,6186,2246,65.4,B (ดี)
46,2024-12-28,2567,12,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.24,25.5,249.0,6.88,1.1,7.6,0.312,0.913,0.857,9622,4845,81.5,A (ดีมาก)
47,2024-05-05,2567,5,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.03,30.9,385.0,3.04,6.65,27.5,1.748,3.152,2.223,80821,43957,41.9,C (พอใช้)
48,2025-03-06,2568,3,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,6.94,27.6,234.0,8.12,1.59,9.6,0.285,1.63,0.152,5985,2437,88.3,A (ดีมาก)
49,2025-12-14,2568,12,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,6.98,23.0,410.0,2.12,6.89,34.2,1.662,4.154,2.162,25483,10682,35.3,D (เสื่อมโทรม)
50,2024-05-14,2567,5,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.2,30.1,403.0,3.39,8.18,26.4,1.521,3.717,2.305,122609,73514,42.5,C (พอใช้)
51,2025-04-29,2568,4,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.4,28.7,267.0,7.1,1.78,12.6,0.152,1.668,0.494,4740,2560,82.7,A (ดีมาก)
52,2024-04-07,2567,4,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.02,27.2,385.0,2.95,8.13,27.7,1.545,3.282,2.233,25562,8332,42.2,C (พอใช้)
53,2024-05-24,2567,5,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.02,29.7,411.0,3.55,6.33,26.4,1.584,3.117,2.617,30395,11003,43.2,C (พอใช้)
54,2024-05-17,2567,5,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,6.87,29.0,252.0,6.59,2.04,11.8,0.24,0.94,0.29,3945,1829,83.4,A (ดีมาก)
55,2024-11-28,2567,11,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.2,26.9,287.0,5.36,2.44,7.4,0.138,0.824,0.333,5801,1857,78.6,B (ดี)
56,2024-10-10,2567,10,ฤดูฝน,BNH03,ลำห้วย (Tributary),ท่าแร่,6.87,27.2,420.0,2.99,5.68,21.3,1.311,3.355,2.355,55901,11795,42.8,C (พอใช้)
57,2025-03-20,2568,3,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,6.85,26.6,228.0,7.58,2.37,11.3,0.117,0.682,0.313,1825,481,89.2,A (ดีมาก)
58,2024-03-30,2567,3,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,6.82,27.8,307.0,4.68,5.37,20.9,1.044,1.875,1.417,8555,2635,61.5,B (ดี)
59,2024-10-12,2567,10,ฤดูฝน,NHK10,หนองหาร (Lake),งิ้วด่อน,7.49,28.3,197.0,8.28,0.3,4.0,0.117,0.642,0.479,2388,1089,91.6,A (ดีมาก)
60,2024-12-22,2567,12,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.85,26.6,228.0,6.25,1.93,8.8,0.14,1.439,0.158,14143,3558,81.4,A (ดีมาก)
61,2025-01-31,2568,1,ฤดูแล้ง,NHK08,หนองหาร (Lake),นาตงวัฒนา,6.79,26.5,297.0,6.01,0.3,4.0,0.252,0.838,1.324,13070,3067,75.9,B (ดี)
62,2025-08-02,2568,8,ฤดูฝน,NHK01,หนองหาร (Lake),เมืองสกลนคร,6.83,31.6,149.0,6.82,0.69,4.0,0.01,0.604,0.475,3684,1105,85.9,A (ดีมาก)
63,2025-04-18,2568,4,ฤดูแล้ง,NHK06,หนองหาร (Lake),บ้านแป้น,6.7,28.5,277.0,6.49,1.18,13.7,0.129,0.673,0.489,6265,2087,83.4,A (ดีมาก)
64,2024-02-11,2567,2,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.4,23.5,231.0,6.38,4.47,13.7,0.343,0.647,0.185,6566,2694,83.3,A (ดีมาก)
65,2025-12-08,2568,12,ฤดูแล้ง,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.76,25.0,305.0,3.16,4.78,5.7,0.744,2.39,1.314,13480,4475,55.3,C (พอใช้)
66,2025-01-23,2568,1,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.94,26.4,357.0,5.84,5.55,23.5,1.009,2.067,1.735,43614,16232,64.6,B (ดี)
67,2025-12-03,2568,12,ฤดูแล้ง,BNH07,ลำห้วย (Tributary),งิ้วด่อน,8.0,24.4,299.0,5.85,4.28,20.0,0.636,1.95,1.945,18365,6273,66.1,B (ดี)
68,2024-01-12,2567,1,ฤดูแล้ง,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.01,25.3,267.0,8.09,1.55,4.0,0.118,0.714,0.622,3082,877,89.8,A (ดีมาก)
69,2025-12-08,2568,12,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,6.51,24.4,241.0,5.82,1.39,9.8,0.208,1.625,0.173,4534,1381,78.4,B (ดี)
70,2025-06-10,2568,6,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.19,30.2,379.0,5.79,2.93,14.4,0.918,2.533,1.6,8587,2519,64.0,B (ดี)
71,2025-07-29,2568,7,ฤดูฝน,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.05,31.4,149.0,7.07,0.3,4.0,0.448,0.865,0.441,13094,7833,83.8,A (ดีมาก)
72,2024-03-31,2567,3,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.14,27.7,296.0,7.5,2.77,4.6,0.291,1.942,0.424,5874,2785,83.1,A (ดีมาก)
73,2024-04-16,2567,4,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,8.0,28.6,254.0,4.58,3.11,4.0,0.902,2.019,1.097,7155,3433,63.0,B (ดี)
74,2025-11-30,2568,11,ฤดูแล้ง,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.0,25.8,260.0,4.78,3.84,16.5,1.321,1.876,1.265,16576,5180,61.1,B (ดี)
75,2025-02-24,2568,2,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.3,25.1,239.0,6.66,2.41,9.3,0.124,0.896,0.184,5974,2734,85.0,A (ดีมาก)
76,2024-06-07,2567,6,ฤดูฝน,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.88,30.6,313.0,5.55,2.62,10.3,0.885,2.226,1.601,33440,7448,64.2,B (ดี)
77,2025-07-11,2568,7,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,7.65,33.3,170.0,7.62,0.64,14.6,0.01,1.938,0.299,2066,648,85.9,A (ดีมาก)
78,2025-11-12,2568,11,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.01,25.2,242.0,6.65,2.25,14.4,0.176,1.206,0.321,14082,5750,82.9,A (ดีมาก)
79,2025-11-02,2568,11,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.64,25.5,377.0,2.29,8.52,38.5,1.615,4.32,2.384,24892,9501,34.6,D (เสื่อมโทรม)
80,2025-07-21,2568,7,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,7.25,29.8,338.0,4.86,7.27,24.5,1.301,3.563,2.294,46596,18399,50.8,C (พอใช้)
81,2025-11-29,2568,11,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.02,27.0,193.0,6.87,0.81,4.0,0.156,0.977,0.524,1654,878,83.8,A (ดีมาก)
82,2024-05-31,2567,5,ฤดูแล้ง,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,7.28,29.6,331.0,3.27,6.87,32.6,1.672,3.522,2.311,54473,26968,41.7,C (พอใช้)
83,2025-08-29,2568,8,ฤดูฝน,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.66,32.1,320.0,6.13,3.06,9.3,0.578,1.972,1.246,60528,13561,71.1,B (ดี)
84,2025-01-03,2568,1,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.0,26.0,334.0,3.42,6.54,24.2,1.576,3.636,2.191,18284,5654,43.1,C (พอใช้)
85,2025-08-29,2568,8,ฤดูฝน,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,6.93,31.7,316.0,4.46,6.41,18.4,1.361,4.309,2.459,171529,40610,45.4,C (พอใช้)
86,2025-10-13,2568,10,ฤดูฝน,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.67,28.6,228.0,7.06,1.22,14.2,0.026,1.478,0.328,12706,3489,84.7,A (ดีมาก)
87,2025-11-25,2568,11,ฤดูแล้ง,NHK08,หนองหาร (Lake),นาตงวัฒนา,6.92,27.8,283.0,6.46,0.63,4.0,0.151,1.202,0.46,1689,581,81.5,A (ดีมาก)
88,2025-08-07,2568,8,ฤดูฝน,NHK04,หนองหาร (Lake),เชียงเครือ,7.41,31.3,171.0,7.42,0.3,4.0,0.01,0.664,0.373,2460,820,88.9,A (ดีมาก)
89,2025-07-28,2568,7,ฤดูฝน,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,6.94,31.2,434.0,3.34,4.86,23.7,1.407,3.409,2.186,26805,14595,44.5,C (พอใช้)
90,2024-01-17,2567,1,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.25,26.0,219.0,6.08,2.7,15.2,0.215,0.836,0.377,1186,459,81.1,A (ดีมาก)
91,2024-12-10,2567,12,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.39,24.7,352.0,5.65,4.72,18.6,0.871,2.997,1.257,15216,6021,63.9,B (ดี)
92,2025-09-29,2568,9,ฤดูฝน,BNH04,ลำห้วย (Tributary),นาแก้ว,6.65,26.5,368.0,4.06,7.17,32.7,1.376,6.0,2.338,42109,24323,38.5,D (เสื่อมโทรม)
93,2025-07-03,2568,7,ฤดูฝน,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.0,31.2,200.0,7.83,0.3,4.0,0.01,1.1,0.663,3905,1412,87.8,A (ดีมาก)
94,2024-09-11,2567,9,ฤดูฝน,NHK06,หนองหาร (Lake),บ้านแป้น,7.22,30.5,240.0,7.89,1.09,10.7,0.01,1.705,0.392,3794,1213,87.4,A (ดีมาก)
95,2025-05-07,2568,5,ฤดูแล้ง,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.97,30.2,337.0,5.75,4.55,11.4,0.633,2.353,1.155,17337,8920,68.3,B (ดี)
96,2025-12-06,2568,12,ฤดูแล้ง,NHK05,หนองหาร (Lake),ท่าแร่,7.71,26.1,172.0,7.27,1.57,11.7,0.126,2.086,0.381,649,250,82.7,A (ดีมาก)
97,2025-02-14,2568,2,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.79,24.8,297.0,5.99,4.36,28.4,0.7,1.945,1.073,54536,28032,70.8,B (ดี)
98,2024-01-25,2567,1,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.09,25.8,272.0,5.81,3.21,14.8,0.813,1.932,1.196,5320,1895,68.8,B (ดี)
99,2025-11-19,2568,11,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,7.21,26.5,231.0,8.16,3.57,17.8,0.338,2.169,0.422,2868,1546,85.0,A (ดีมาก)
100,2024-04-22,2567,4,ฤดูแล้ง,NHK10,หนองหาร (Lake),งิ้วด่อน,7.02,28.2,184.0,5.81,0.52,4.0,0.24,0.911,0.405,2524,550,79.4,B (ดี)
101,2025-04-29,2568,4,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.55,26.3,302.0,5.2,2.16,20.6,0.623,2.674,1.522,21962,8105,63.0,B (ดี)
102,2024-06-09,2567,6,ฤดูฝน,NHK08,หนองหาร (Lake),นาตงวัฒนา,6.86,30.3,225.0,6.5,0.3,4.0,0.638,1.157,0.339,1101,465,79.7,B (ดี)
103,2024-02-08,2567,2,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.19,27.1,221.0,6.83,1.98,9.3,0.273,0.653,0.165,3812,1371,85.8,A (ดีมาก)
104,2025-08-30,2568,8,ฤดูฝน,BNH07,ลำห้วย (Tributary),งิ้วด่อน,7.27,29.2,358.0,6.41,3.93,15.8,0.483,2.257,1.763,7847,3733,69.4,B (ดี)
105,2025-06-11,2568,6,ฤดูฝน,NHK09,หนองหาร (Lake),เหล่าปอแดง,7.36,30.1,175.0,7.91,0.3,4.0,0.069,0.637,0.261,3613,1873,91.3,A (ดีมาก)
106,2025-03-28,2568,3,ฤดูแล้ง,BNH06,ลำห้วย (Tributary),เหล่าปอแดง,7.43,25.8,316.0,4.85,5.27,21.2,0.764,2.995,1.409,13661,6281,60.1,B (ดี)
107,2024-10-05,2567,10,ฤดูฝน,BNH08,ลำห้วย (Tributary),เมืองสกลนคร,6.78,28.5,416.0,4.2,4.48,16.3,1.382,3.148,2.265,43399,17042,49.0,C (พอใช้)
108,2024-08-22,2567,8,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,6.61,29.8,243.0,6.46,1.4,5.4,0.033,2.056,0.48,27275,12321,79.3,B (ดี)
109,2025-12-14,2568,12,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.34,24.2,197.0,7.17,2.64,12.4,0.191,1.044,0.318,3863,1573,85.7,A (ดีมาก)
110,2025-09-19,2568,9,ฤดูฝน,NHK04,หนองหาร (Lake),เชียงเครือ,7.25,29.4,212.0,8.98,0.3,6.7,0.065,0.603,0.653,4823,1463,94.2,A (ดีมาก)
111,2024-10-17,2567,10,ฤดูฝน,NHK08,หนองหาร (Lake),นาตงวัฒนา,7.17,25.8,259.0,7.29,1.78,14.1,0.032,0.866,0.243,2796,1409,88.1,A (ดีมาก)
112,2025-04-17,2568,4,ฤดูแล้ง,BNH03,ลำห้วย (Tributary),ท่าแร่,7.5,28.5,356.0,3.17,8.93,40.2,1.546,3.334,2.476,43956,26231,41.8,C (พอใช้)
113,2024-06-27,2567,6,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,7.04,29.5,269.0,7.8,0.3,4.0,0.01,0.803,0.327,8459,3985,90.3,A (ดีมาก)
114,2024-10-28,2567,10,ฤดูฝน,BNH03,ลำห้วย (Tributary),ท่าแร่,7.03,27.9,371.0,3.05,5.5,15.7,1.352,3.349,2.165,74474,20601,43.8,C (พอใช้)
115,2024-01-03,2567,1,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.7,25.2,193.0,6.88,1.72,8.6,0.323,0.762,0.981,3713,1313,81.3,A (ดีมาก)
116,2025-10-30,2568,10,ฤดูฝน,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.6,30.1,272.0,5.47,2.61,7.7,0.623,2.346,1.12,30891,9497,67.3,B (ดี)
117,2024-04-12,2567,4,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,6.7,28.6,290.0,5.11,5.19,22.2,0.603,2.36,1.198,8685,3888,65.4,B (ดี)
118,2024-09-05,2567,9,ฤดูฝน,NHK02,หนองหาร (Lake),ธาตุนาเวง,7.37,30.1,273.0,4.74,3.21,7.9,0.844,1.862,1.285,16345,8118,63.6,B (ดี)
119,2024-04-23,2567,4,ฤดูแล้ง,NHK01,หนองหาร (Lake),เมืองสกลนคร,6.83,26.4,243.0,7.56,1.6,10.9,0.299,2.153,0.804,2367,602,80.7,A (ดีมาก)
120,2024-08-17,2567,8,ฤดูฝน,NHK03,หนองหาร (Lake),ฮางโฮง,6.63,29.7,214.0,6.98,0.36,13.8,0.01,0.917,0.196,2684,1604,86.9,A (ดีมาก)
121,2025-12-23,2568,12,ฤดูแล้ง,NHK07,หนองหาร (Lake),บ้านแป้น,7.66,25.8,193.0,7.42,1.1,11.5,0.276,0.653,0.197,2801,1091,88.2,A (ดีมาก)
122,2024-12-10,2567,12,ฤดูแล้ง,BNH01,ลำห้วย (Tributary),ธาตุนาเวง,7.34,26.6,345.0,1.77,9.16,40.2,1.532,3.187,2.16,84907,44279,37.7,D (เสื่อมโทรม)
123,2025-05-31,2568,5,ฤดูแล้ง,NHK04,หนองหาร (Lake),เชียงเครือ,7.31,29.6,275.0,7.5,1.56,4.0,0.29,1.007,0.756,6674,1841,84.5,A (ดีมาก)
124,2025-03-29,2568,3,ฤดูแล้ง,NHK03,หนองหาร (Lake),ฮางโฮง,7.34,25.4,231.0,6.19,2.69,16.6,0.115,0.671,0.551,2228,1188,81.9,A (ดีมาก)
125,2024-06-06,2567,6,ฤดูฝน,NHK04,หนองหาร (Lake),เชียงเครือ,6.79,31.4,191.0,7.52,1.57,11.3,0.01,0.944,0.325,2349,696,88.6,A (ดีมาก)
126,2024-03-10,2567,3,ฤดูแล้ง,BNH05,ลำห้วย (Tributary),ม่วงลาย,6.81,24.9,271.0,5.7,3.1,10.7,0.887,2.926,2.086,14328,5461,60.1,B (ดี)
127,2024-07-16,2567,7,ฤดูฝน,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.38,32.1,353.0,6.29,3.71,10.4,0.581,1.964,1.268,18272,4737,71.8,B (ดี)
128,2025-05-08,2568,5,ฤดูแล้ง,BNH02,ลำห้วย (Tributary),เชียงเครือ,7.24,29.2,365.0,5.54,5.16,26.6,0.917,2.872,1.189,8467,2179,63.9,B (ดี)
129,2024-07-18,2567,7,ฤดูฝน,BNH05,ลำห้วย (Tributary),ม่วงลาย,7.13,31.2,357.0,6.67,2.64,4.0,0.431,2.14,1.052,7116,3794,74.8,B (ดี)
